time,SUSCEPTIBLE,INFECTED,EXPOSED,RECOVERED,DEAD
5881,16069,1,0,38,1
5882,16069,1,0,38,1
5883,16069,1,0,38,1
5884,16069,1,0,38,1
5885,16069,1,0,38,1
5886,16069,1,0,38,1
5887,16069,1,0,38,1
5888,16069,1,0,38,1
5889,16069,1,0,38,1
5890,16069,1,0,38,1
5891,16069,1,0,38,1
5892,16069,1,0,38,1
5893,16069,1,0,38,1
5894,16069,1,0,38,1
5895,16069,1,0,38,1
5896,16069,1,0,38,1
5897,16069,1,0,38,1
5898,16069,1,0,38,1
5899,16069,1,0,38,1
5900,16069,1,0,38,1
5901,16069,1,0,38,1
5902,16069,1,0,38,1
5903,16069,1,0,38,1
5904,16069,1,0,38,1
5905,16069,1,0,38,1
5906,16069,1,0,38,1
5907,16069,1,0,38,1
5908,16069,1,0,38,1
5909,16069,1,0,38,1
5910,16069,1,0,38,1
5911,16069,1,0,38,1
5912,16069,1,0,38,1
5913,16069,1,0,38,1
5914,16069,1,0,38,1
5915,16069,1,0,38,1
5916,16069,1,0,38,1
5917,16069,1,0,38,1
5918,16069,1,0,38,1
5919,16069,1,0,38,1
5920,16069,1,0,38,1
5921,16069,1,0,38,1
5922,16069,1,0,38,1
5923,16069,1,0,38,1
5924,16069,1,0,38,1
5925,16069,1,0,38,1
5926,16069,1,0,38,1
5927,16069,1,0,38,1
5928,16069,1,0,38,1
5929,16069,1,0,38,1
5930,16069,1,0,38,1
5931,16069,1,0,38,1
5932,16069,1,0,38,1
5933,16069,1,0,38,1
5934,16069,1,0,38,1
5935,16069,1,0,38,1
5936,16069,1,0,38,1
5937,16069,1,0,38,1
5938,16069,1,0,38,1
5939,16069,1,0,38,1
5940,16069,1,0,38,1
5941,16069,1,0,38,1
5942,16069,1,0,38,1
5943,16069,1,0,38,1
5944,16069,1,0,38,1
5945,16069,1,0,38,1
5946,16069,1,0,38,1
5947,16069,1,0,38,1
5948,16069,1,0,38,1
5949,16069,1,0,38,1
5950,16069,1,0,38,1
5951,16069,1,0,38,1
5952,16069,1,0,38,1
5953,16069,1,0,38,1
5954,16069,1,0,38,1
5955,16069,1,0,38,1
5956,16069,1,0,38,1
5957,16069,1,0,38,1
5958,16069,1,0,38,1
5959,16069,1,0,38,1
5960,16069,1,0,38,1
5961,16069,1,0,38,1
5962,16069,1,0,38,1
5963,16069,1,0,38,1
5964,16069,1,0,38,1
5965,16069,1,0,38,1
5966,16069,1,0,38,1
5967,16069,1,0,38,1
5968,16069,1,0,38,1
5969,16069,1,0,38,1
5970,16069,1,0,38,1
5971,16069,1,0,38,1
5972,16069,1,0,38,1
5973,16069,1,0,38,1
5974,16069,1,0,38,1
5975,16069,1,0,38,1
5976,16069,1,0,38,1
5977,16069,1,0,38,1
5978,16069,1,0,38,1
5979,16069,1,0,38,1
5980,16069,1,0,38,1
5981,16069,1,0,38,1
5982,16069,1,0,38,1
5983,16069,1,0,38,1
5984,16069,1,0,38,1
5985,16069,1,0,38,1
5986,16069,1,0,38,1
5987,16069,1,0,38,1
5988,16069,1,0,38,1
5989,16069,1,0,38,1
5990,16069,1,0,38,1
5991,16069,1,0,38,1
5992,16069,1,0,38,1
5993,16069,1,0,38,1
5994,16069,1,0,38,1
5995,16069,1,0,38,1
5996,16069,1,0,38,1
5997,16069,1,0,38,1
5998,16069,1,0,38,1
5999,16069,1,0,38,1
6000,16069,1,0,38,1
6001,16069,1,0,38,1
6002,16069,1,0,38,1
6003,16069,1,0,38,1
6004,16069,1,0,38,1
6005,16069,1,0,38,1
6006,16069,1,0,38,1
6007,16069,1,0,38,1
6008,16069,1,0,38,1
6009,16069,1,0,38,1
6010,16069,1,0,38,1
6011,16069,1,0,38,1
6012,16069,1,0,38,1
6013,16069,1,0,38,1
6014,16069,1,0,38,1
6015,16069,1,0,38,1
6016,16069,1,0,38,1
6017,16069,1,0,38,1
6018,16069,1,0,38,1
6019,16069,1,0,38,1
6020,16069,1,0,38,1
6021,16069,1,0,38,1
6022,16069,1,0,38,1
6023,16069,1,0,38,1
6024,16069,1,0,38,1
6025,16069,1,0,38,1
6026,16069,1,0,38,1
6027,16069,1,0,38,1
6028,16069,1,0,38,1
6029,16069,1,0,38,1
6030,16069,1,0,38,1
6031,16069,1,0,38,1
6032,16069,1,0,38,1
6033,16069,1,0,38,1
6034,16069,1,0,38,1
6035,16069,1,0,38,1
6036,16069,1,0,38,1
6037,16069,1,0,38,1
6038,16069,1,0,38,1
6039,16069,1,0,38,1
6040,16069,1,0,38,1
6041,16069,1,0,38,1
6042,16069,1,0,38,1
6043,16069,1,0,38,1
6044,16069,1,0,38,1
6045,16069,1,0,38,1
6046,16069,1,0,38,1
6047,16069,1,0,38,1
6048,16069,1,0,38,1
6049,16069,1,0,38,1
6050,16069,1,0,38,1
6051,16069,1,0,38,1
6052,16069,1,0,38,1
6053,16069,1,0,38,1
6054,16069,1,0,38,1
6055,16069,1,0,38,1
6056,16069,1,0,38,1
6057,16069,1,0,38,1
6058,16069,1,0,38,1
6059,16069,1,0,38,1
6060,16069,1,0,38,1
6061,16069,1,0,38,1
6062,16069,1,0,38,1
6063,16069,1,0,38,1
6064,16069,1,0,38,1
6065,16069,1,0,38,1
6066,16069,1,0,38,1
6067,16069,1,0,38,1
6068,16069,1,0,38,1
6069,16069,1,0,38,1
6070,16069,1,0,38,1
6071,16069,1,0,38,1
6072,16069,1,0,38,1
6073,16069,1,0,38,1
6074,16069,1,0,38,1
6075,16069,1,0,38,1
6076,16069,1,0,38,1
6077,16069,1,0,38,1
6078,16069,1,0,38,1
6079,16069,1,0,38,1
6080,16069,1,0,38,1
6081,16069,1,0,38,1
6082,16069,1,0,38,1
6083,16069,1,0,38,1
6084,16069,1,0,38,1
6085,16069,1,0,38,1
6086,16069,1,0,38,1
6087,16069,1,0,38,1
6088,16069,1,0,38,1
6089,16069,1,0,38,1
6090,16069,1,0,38,1
6091,16069,1,0,38,1
6092,16069,1,0,38,1
6093,16069,1,0,38,1
6094,16069,1,0,38,1
6095,16069,1,0,38,1
6096,16069,1,0,38,1
6097,16069,1,0,38,1
6098,16069,1,0,38,1
6099,16069,1,0,38,1
6100,16069,1,0,38,1
6101,16069,1,0,38,1
6102,16069,1,0,38,1
6103,16069,1,0,38,1
6104,16069,1,0,38,1
6105,16069,1,0,38,1
6106,16069,1,0,38,1
6107,16069,1,0,38,1
6108,16069,1,0,38,1
6109,16069,1,0,38,1
6110,16069,1,0,38,1
6111,16069,1,0,38,1
6112,16069,1,0,38,1
6113,16069,1,0,38,1
6114,16069,1,0,38,1
6115,16069,1,0,38,1
6116,16069,1,0,38,1
6117,16069,1,0,38,1
6118,16069,1,0,38,1
6119,16069,1,0,38,1
6120,16069,1,0,38,1
6121,16069,1,0,38,1
6122,16069,1,0,38,1
6123,16069,1,0,38,1
6124,16069,1,0,38,1
6125,16069,1,0,38,1
6126,16069,1,0,38,1
6127,16069,1,0,38,1
6128,16069,1,0,38,1
6129,16069,1,0,38,1
6130,16069,1,0,38,1
6131,16069,1,0,38,1
6132,16069,1,0,38,1
6133,16069,1,0,38,1
6134,16069,1,0,38,1
6135,16069,1,0,38,1
6136,16069,1,0,38,1
6137,16069,1,0,38,1
6138,16069,1,0,38,1
6139,16069,1,0,38,1
6140,16069,1,0,38,1
6141,16069,1,0,38,1
6142,16069,1,0,38,1
6143,16069,1,0,38,1
6144,16069,1,0,38,1
6145,16069,1,0,38,1
6146,16069,1,0,38,1
